time/time_elapsed,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/loss,train/learning_rate,train/n_updates
4120,113,466620,0.05,174.87944997000002,84.0,5555,1.6988770961761475,0.0001,116629
4121,113,466704,0.05,174.60366208000002,84.0,5556,0.6359419822692871,0.0001,116650
4121,113,466788,0.05,173.19348439,84.0,5557,8.961935043334961,0.0001,116671
4122,113,466872,0.05,172.85651009,84.0,5558,0.3945327401161194,0.0001,116692
4123,113,466956,0.05,171.50380657999997,84.0,5559,3.9671754837036133,0.0001,116713
4124,113,467040,0.05,171.07212262999997,84.0,5560,0.8996486067771912,0.0001,116734
4125,113,467124,0.05,171.39804091999997,84.0,5561,1.0756226778030396,0.0001,116755
4125,113,467208,0.05,170.02310126,84.0,5562,0.6750926971435547,0.0001,116776
4126,113,467292,0.05,169.50478013999998,84.0,5563,1.6948826313018799,0.0001,116797
4127,113,467376,0.05,170.10056802,84.0,5564,1.602890968322754,0.0001,116818
4128,113,467460,0.05,170.53437006999997,84.0,5565,1.6030123233795166,0.0001,116839
4129,113,467544,0.05,171.31211694,84.0,5566,1.1013095378875732,0.0001,116860
4129,113,467628,0.05,170.84757017,84.0,5567,1.5954071283340454,0.0001,116881
4130,113,467712,0.05,171.56359462,84.0,5568,1.3261523246765137,0.0001,116902
4131,113,467796,0.05,171.97088923000004,84.0,5569,1.3954185247421265,0.0001,116923
4132,113,467880,0.05,172.1895945,84.0,5570,1.743048071861267,0.0001,116944
4133,113,467964,0.05,172.41800711,84.0,5571,0.560286283493042,0.0001,116965
4133,113,468048,0.05,173.40540317,84.0,5572,1.1419299840927124,0.0001,116986
4134,113,468132,0.05,172.67505420999998,84.0,5573,1.7214555740356445,0.0001,117007
4135,113,468216,0.05,171.44093593999997,84.0,5574,0.7426590323448181,0.0001,117028
4136,113,468300,0.05,171.87414811,84.0,5575,0.8230376839637756,0.0001,117049
4136,113,468384,0.05,171.47746236,84.0,5576,2.0364792346954346,0.0001,117070
4137,113,468468,0.05,171.51583427000003,84.0,5577,0.887039065361023,0.0001,117091
4138,113,468552,0.05,171.65197949999998,84.0,5578,7.641412258148193,0.0001,117112
4139,113,468636,0.05,171.76761931999997,84.0,5579,1.2087312936782837,0.0001,117133
