year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done,,,
2081,1.357789192,779.2221178,132.7596558,1354.832913,1.190964006,843.3335339,345.5179454,13.39951888,47.50738509,50.312,14,-1.422108083,FALSE,,-0.142210808,
2082,1.352430898,776.6874053,132.4702863,1352.892895,1.194214735,850.3686152,349.3273402,13.39951888,47.50738509,50.312,14,-1.475691015,FALSE,,-0.147569102,
2083,1.347041646,774.1190807,132.1749051,1350.886357,1.197294712,857.2296364,353.0403227,13.39951888,47.50738509,50.312,14,-1.529583541,FALSE,,-0.152958354,
2084,1.341601116,771.5200132,131.8734981,1348.813712,1.200206497,863.8743011,356.646159,13.39951888,47.50738509,50.312,14,-1.583988838,FALSE,,-0.158398884,
2085,1.336090682,768.8882727,131.5660884,1346.675374,1.202952221,870.2828578,360.1270087,13.39951888,47.50738509,50.312,14,-1.639093178,FALSE,,-0.163909318,
2086,1.33049311,766.2256234,131.2527035,1344.471727,1.205533614,876.4341045,363.4736132,13.39951888,47.50738509,50.312,14,-1.695068898,FALSE,,-0.16950689,
2087,1.324792984,763.5326565,130.9334277,1342.203175,1.207952043,882.3168485,366.6763326,13.39951888,47.50738509,50.312,14,-1.752070164,FALSE,,-0.175207016,
2088,1.318976498,760.8113202,130.6083738,1339.870162,1.21020857,887.9225267,369.729885,13.39951888,47.50738509,50.312,14,-1.810235019,FALSE,,-0.181023502,
2089,1.313031495,758.0633546,130.2776904,1337.473191,1.212303978,893.2473191,372.6301053,13.39951888,47.50738509,50.312,14,-1.869685046,FALSE,,-0.186968505,
2090,1.306946883,755.2769469,129.9414195,1335.012828,1.214238796,898.4809658,375.4060477,13.39951888,47.50738509,50.312,14,-1.930531173,FALSE,,-0.193053117,
2091,1.300714603,752.493165,129.600163,1332.489623,1.216013337,903.3745793,378.0869487,13.39951888,47.50738509,50.312,14,-1.992853969,FALSE,,-0.199285397,
2092,1.294328067,749.6753538,129.2538449,1329.904627,1.217627812,908.1040925,380.6477987,13.39951888,47.50738509,50.312,14,-2.056719335,FALSE,,-0.205671933,
2093,1.287778402,746.8375011,128.9023408,1327.258462,1.219082235,912.6194568,383.1043497,13.39951888,47.50738509,50.312,14,-2.122215977,FALSE,,-0.212221598,
2094,1.281058361,743.9733378,128.545669,1324.551799,1.22037648,916.917409,385.435025,13.39951888,47.50738509,50.312,14,-2.189416387,FALSE,,-0.218941639,
2095,1.274160949,741.0859489,128.1838536,1321.785226,1.22151027,920.9854062,387.6392599,13.39951888,47.50738509,50.312,14,-2.258390509,FALSE,,-0.225839051,
2096,1.267079952,738.1752853,127.8169803,1318.959349,1.222483209,924.8202219,389.7116431,13.39951888,47.50738509,50.312,14,-2.329200483,FALSE,,-0.232920048,
2097,1.259810185,735.2428736,127.445148,1316.074789,1.223294794,928.4198341,391.6514367,13.39951888,47.50738509,50.312,14,-2.401898154,FALSE,,-0.240189815,
2098,1.252347028,732.2898621,127.0684781,1313.132203,1.223944436,931.785105,393.45822,13.39951888,47.50738509,50.312,14,-2.476529717,FALSE,,-0.247652972,
2099,1.244686808,729.317635,126.6870996,1310.132288,1.224431473,934.9184117,395.1330402,13.39951888,47.50738509,50.312,14,-2.553131919,FALSE,,-0.255313192,
2100,1.236826554,726.3275131,126.3011485,1307.075784,1.224755192,937.8234786,396.6776208,13.39951888,47.50738509,50.312,14,-2.631734458,FALSE,,-0.263173446,
