rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/n_updates,train/loss
84.0,52.83928916000001,2062,4492,182,0.05,377328,0.0001,94306,0.08736157417297363
84.0,52.77370919,2062,4493,182,0.05,377412,0.0001,94327,0.11098575592041016
84.0,52.785641269999985,2063,4494,182,0.05,377496,0.0001,94348,3.502824068069458
84.0,53.053698600000004,2063,4495,182,0.05,377580,0.0001,94369,7.635249614715576
84.0,53.00050450999999,2064,4496,182,0.05,377664,0.0001,94390,0.0393652468919754
84.0,53.077277699999996,2064,4497,182,0.05,377748,0.0001,94411,0.21491305530071259
84.0,53.23084725999999,2065,4498,182,0.05,377832,0.0001,94432,0.30881381034851074
84.0,53.31414255,2065,4499,182,0.05,377916,0.0001,94453,0.07341846823692322
84.0,53.08412482999999,2066,4500,182,0.05,378000,0.0001,94474,0.09119987487792969
84.0,53.19319230000001,2066,4501,182,0.05,378084,0.0001,94495,0.06092030182480812
84.0,53.13312923,2067,4502,182,0.05,378168,0.0001,94516,0.14524909853935242
84.0,53.179066379999995,2067,4503,182,0.05,378252,0.0001,94537,0.2189204841852188
84.0,53.36302584,2068,4504,182,0.05,378336,0.0001,94558,0.2219708412885666
84.0,53.39055161999999,2068,4505,182,0.05,378420,0.0001,94579,0.041298896074295044
84.0,53.38185906999998,2069,4506,182,0.05,378504,0.0001,94600,0.08208686858415604
84.0,53.346428589999995,2069,4507,182,0.05,378588,0.0001,94621,3.645406723022461
84.0,53.50440444,2069,4508,182,0.05,378672,0.0001,94642,0.1000044047832489
84.0,53.70736697,2070,4509,182,0.05,378756,0.0001,94663,0.3866180181503296
84.0,53.75877070000001,2070,4510,182,0.05,378840,0.0001,94684,0.07673206180334091
84.0,53.926980750000006,2071,4511,182,0.05,378924,0.0001,94705,0.09699082374572754
84.0,53.924927939999996,2071,4512,182,0.05,379008,0.0001,94726,0.08988042175769806
84.0,53.98309176,2072,4513,182,0.05,379092,0.0001,94747,0.07295355200767517
84.0,53.98161486000001,2072,4514,182,0.05,379176,0.0001,94768,0.09012708812952042
84.0,53.99415737,2073,4515,182,0.05,379260,0.0001,94789,7.121713161468506
84.0,53.74958858000001,2073,4516,182,0.05,379344,0.0001,94810,0.0775902271270752
84.0,53.92900566000001,2074,4517,182,0.05,379428,0.0001,94831,0.12368758767843246
84.0,53.94436679,2074,4518,182,0.05,379512,0.0001,94852,0.10504233092069626
84.0,54.05589056000001,2075,4519,182,0.05,379596,0.0001,94873,3.3822503089904785
84.0,54.00323172,2075,4520,182,0.05,379680,0.0001,94894,0.19354744255542755
84.0,54.130951700000004,2076,4521,182,0.05,379764,0.0001,94915,3.818408966064453
84.0,54.29896438,2076,4522,182,0.05,379848,0.0001,94936,14.204971313476562
84.0,54.3689559,2077,4523,182,0.05,379932,0.0001,94957,0.056289080530405045
84.0,54.25264191,2077,4524,182,0.05,380016,0.0001,94978,3.4379239082336426
84.0,54.002985290000005,2078,4525,182,0.05,380100,0.0001,94999,0.13979430496692657
84.0,54.02951711000001,2078,4526,182,0.05,380184,0.0001,95020,3.5068986415863037
84.0,54.08539427000001,2079,4527,182,0.05,380268,0.0001,95041,3.7718582153320312
84.0,54.25997565000001,2079,4528,182,0.05,380352,0.0001,95062,0.07715852558612823
84.0,54.354951989999996,2080,4529,182,0.05,380436,0.0001,95083,0.07289054244756699
84.0,54.334251949999995,2080,4530,182,0.05,380520,0.0001,95104,0.06697562336921692
84.0,54.05996998999999,2081,4531,182,0.05,380604,0.0001,95125,0.38073304295539856
84.0,53.93825808,2081,4532,182,0.05,380688,0.0001,95146,3.305950164794922
84.0,53.798122799999994,2082,4533,182,0.05,380772,0.0001,95167,0.1003013402223587
84.0,53.436572559999995,2082,4534,182,0.05,380856,0.0001,95188,0.2579841911792755
84.0,53.38112767,2083,4535,182,0.05,380940,0.0001,95209,3.9902501106262207
84.0,53.560752359999995,2083,4536,182,0.05,381024,0.0001,95230,0.1344013512134552
84.0,53.42213082,2084,4537,182,0.05,381108,0.0001,95251,0.07104296237230301
84.0,53.53347250000001,2084,4538,182,0.05,381192,0.0001,95272,0.07957438379526138
84.0,53.60603590000001,2085,4539,182,0.05,381276,0.0001,95293,0.05210987105965614
84.0,53.400220950000005,2085,4540,182,0.05,381360,0.0001,95314,0.0759630799293518
84.0,53.67787645000001,2086,4541,182,0.05,381444,0.0001,95335,3.7681758403778076
84.0,53.547142910000005,2086,4542,182,0.05,381528,0.0001,95356,0.06503760069608688
84.0,53.743411880000004,2087,4543,182,0.05,381612,0.0001,95377,0.08694439381361008
84.0,53.73387435999999,2087,4544,182,0.05,381696,0.0001,95398,0.10770280659198761
84.0,53.80823857,2088,4545,182,0.05,381780,0.0001,95419,0.06203129142522812
84.0,53.849601919999984,2088,4546,182,0.05,381864,0.0001,95440,0.2703707814216614
84.0,54.00196842,2089,4547,182,0.05,381948,0.0001,95461,0.07320807874202728
84.0,54.097560569999985,2089,4548,182,0.05,382032,0.0001,95482,0.12229090183973312
84.0,53.8920925,2090,4549,182,0.05,382116,0.0001,95503,0.1352805644273758
84.0,54.00388864999999,2090,4550,182,0.05,382200,0.0001,95524,3.8907320499420166
84.0,54.253766199999994,2091,4551,182,0.05,382284,0.0001,95545,3.3533549308776855
