time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
108,26.215867930000005,555492,6613,84.0,5113,0.05,138847,0.10752460360527039,0.0001
108,25.18880991,555576,6614,84.0,5114,0.05,138868,0.0966552346944809,0.0001
108,24.663394429999997,555660,6615,84.0,5115,0.05,138889,0.16412882506847382,0.0001
108,25.18374076,555744,6616,84.0,5115,0.05,138910,0.11211581528186798,0.0001
108,25.584124020000004,555828,6617,84.0,5116,0.05,138931,0.1391315758228302,0.0001
108,25.089629120000005,555912,6618,84.0,5117,0.05,138952,0.24275550246238708,0.0001
108,24.748562770000003,555996,6619,84.0,5118,0.05,138973,0.28175073862075806,0.0001
108,25.39123986,556080,6620,84.0,5119,0.05,138994,0.1390576958656311,0.0001
108,25.983217949999997,556164,6621,84.0,5119,0.05,139015,1.07597017288208,0.0001
108,26.496404519999995,556248,6622,84.0,5120,0.05,139036,0.0850096046924591,0.0001
108,27.405928879999998,556332,6623,84.0,5121,0.05,139057,0.11889384686946869,0.0001
108,27.977662950000003,556416,6624,84.0,5122,0.05,139078,0.44347721338272095,0.0001
108,27.90341911,556500,6625,84.0,5122,0.05,139099,0.08866629004478455,0.0001
108,27.81366402,556584,6626,84.0,5123,0.05,139120,0.21622136235237122,0.0001
108,27.91879582,556668,6627,84.0,5124,0.05,139141,0.08106277883052826,0.0001
108,28.845607720000004,556752,6628,84.0,5125,0.05,139162,0.1526496559381485,0.0001
108,29.07548452,556836,6629,84.0,5126,0.05,139183,0.05774913728237152,0.0001
108,29.29143579,556920,6630,84.0,5126,0.05,139204,0.17043167352676392,0.0001
108,28.667570089999998,557004,6631,84.0,5127,0.05,139225,0.23759253323078156,0.0001
108,28.73663614,557088,6632,84.0,5128,0.05,139246,0.20889952778816223,0.0001
108,29.258423500000003,557172,6633,84.0,5129,0.05,139267,0.17705205082893372,0.0001
108,29.2104734,557256,6634,84.0,5129,0.05,139288,0.16448338329792023,0.0001
108,28.962855450000003,557340,6635,84.0,5130,0.05,139309,0.3916138708591461,0.0001
108,29.325050840000003,557424,6636,84.0,5131,0.05,139330,0.41253066062927246,0.0001
108,29.6036069,557508,6637,84.0,5132,0.05,139351,0.07070386409759521,0.0001
108,29.203166409999998,557592,6638,84.0,5133,0.05,139372,0.17545156180858612,0.0001
108,30.05171172,557676,6639,84.0,5133,0.05,139393,0.06660404056310654,0.0001
108,30.74811349,557760,6640,84.0,5134,0.05,139414,0.21924211084842682,0.0001
108,31.576114739999998,557844,6641,84.0,5135,0.05,139435,0.2742575705051422,0.0001
108,31.631807379999994,557928,6642,84.0,5136,0.05,139456,0.38145169615745544,0.0001
108,31.898279219999996,558012,6643,84.0,5137,0.05,139477,0.10120418667793274,0.0001
108,32.51744908999999,558096,6644,84.0,5138,0.05,139498,0.5969220995903015,0.0001
108,32.82623118,558180,6645,84.0,5138,0.05,139519,0.326028972864151,0.0001
108,33.73266701,558264,6646,84.0,5139,0.05,139540,0.34869763255119324,0.0001
108,34.04662597,558348,6647,84.0,5140,0.05,139561,0.5211970806121826,0.0001
108,34.37819622,558432,6648,84.0,5141,0.05,139582,0.12144973129034042,0.0001
108,35.19870753,558516,6649,84.0,5142,0.05,139603,0.2481730580329895,0.0001
108,35.58216157,558600,6650,84.0,5142,0.05,139624,0.11108140647411346,0.0001
108,34.79926424,558684,6651,84.0,5143,0.05,139645,0.2924177050590515,0.0001
108,34.68058789,558768,6652,84.0,5144,0.05,139666,0.3703731894493103,0.0001
108,34.681647819999995,558852,6653,84.0,5145,0.05,139687,0.23052974045276642,0.0001
108,34.79438013000001,558936,6654,84.0,5145,0.05,139708,0.9240809082984924,0.0001
108,34.91199312,559020,6655,84.0,5146,0.05,139729,0.5107672214508057,0.0001
108,35.052558729999994,559104,6656,84.0,5147,0.05,139750,0.4048711657524109,0.0001
108,35.346356539999995,559188,6657,84.0,5148,0.05,139771,0.29763662815093994,0.0001
108,34.70705559,559272,6658,84.0,5149,0.05,139792,0.11702560633420944,0.0001
108,35.33750892,559356,6659,84.0,5149,0.05,139813,0.30788546800613403,0.0001
108,35.588442459999996,559440,6660,84.0,5150,0.05,139834,0.13715878129005432,0.0001
108,36.08094371999999,559524,6661,84.0,5151,0.05,139855,0.38583528995513916,0.0001
108,35.53528907,559608,6662,84.0,5152,0.05,139876,0.18553122878074646,0.0001
108,35.00456858999999,559692,6663,84.0,5152,0.05,139897,0.1572098433971405,0.0001
108,35.68527033,559776,6664,84.0,5153,0.05,139918,0.31900009512901306,0.0001
108,35.54377263,559860,6665,84.0,5154,0.05,139939,0.20802372694015503,0.0001
108,35.608063810000004,559944,6666,84.0,5155,0.05,139960,0.25983864068984985,0.0001
108,36.2596147,560028,6667,84.0,5156,0.05,139981,0.20437589287757874,0.0001
108,36.278605000000006,560112,6668,84.0,5157,0.05,140002,0.14183016121387482,0.0001
108,36.29494663,560196,6669,84.0,5158,0.05,140023,0.11951638758182526,0.0001
108,36.04420275,560280,6670,84.0,5158,0.05,140044,0.06748127937316895,0.0001
108,34.91991239,560364,6671,84.0,5159,0.05,140065,0.19344404339790344,0.0001
108,35.07583931,560448,6672,84.0,5160,0.05,140086,0.19630376994609833,0.0001
108,34.804234230000006,560532,6673,84.0,5161,0.05,140107,0.1596251279115677,0.0001
108,34.87931156,560616,6674,84.0,5162,0.05,140128,0.15674501657485962,0.0001
108,35.35604029,560700,6675,84.0,5163,0.05,140149,0.16366632282733917,0.0001
108,35.64278342,560784,6676,84.0,5164,0.05,140170,0.08707768470048904,0.0001
108,35.67557842,560868,6677,84.0,5164,0.05,140191,0.1776483654975891,0.0001
108,36.15549801,560952,6678,84.0,5165,0.05,140212,0.11770495772361755,0.0001
108,36.11954647,561036,6679,84.0,5166,0.05,140233,0.19022461771965027,0.0001
