time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
202,213780,87.12200082999998,1056,0.05,2545,84.0,3.902270793914795,0.0001,53419
202,213864,87.06274179,1057,0.05,2546,84.0,3.5249457359313965,0.0001,53440
202,213948,87.06336540999999,1057,0.05,2547,84.0,0.42906007170677185,0.0001,53461
202,214032,87.06048149999998,1057,0.05,2548,84.0,4.053772449493408,0.0001,53482
202,214116,87.04754295,1058,0.05,2549,84.0,0.413291871547699,0.0001,53503
202,214200,87.03116872999999,1058,0.05,2550,84.0,0.11196433007717133,0.0001,53524
202,214284,87.01939454,1059,0.05,2551,84.0,3.620673418045044,0.0001,53545
202,214368,87.01316062,1059,0.05,2552,84.0,0.5625090003013611,0.0001,53566
202,214452,87.03891883999997,1059,0.05,2553,84.0,3.6687674522399902,0.0001,53587
202,214536,87.03613433999999,1060,0.05,2554,84.0,0.3623616695404053,0.0001,53608
202,214620,87.04110741999999,1060,0.05,2555,84.0,0.12229227274656296,0.0001,53629
202,214704,87.03128421000001,1061,0.05,2556,84.0,0.30119556188583374,0.0001,53650
202,214788,86.94814281,1061,0.05,2557,84.0,3.362985849380493,0.0001,53671
202,214872,86.94579605999998,1062,0.05,2558,84.0,0.09953740239143372,0.0001,53692
202,214956,86.86494194,1062,0.05,2559,84.0,0.7062479257583618,0.0001,53713
202,215040,86.87084587,1062,0.05,2560,84.0,0.34988081455230713,0.0001,53734
202,215124,86.88859237000001,1063,0.05,2561,84.0,0.292881578207016,0.0001,53755
202,215208,86.82135824000001,1063,0.05,2562,84.0,3.620741844177246,0.0001,53776
202,215292,86.82418386,1064,0.05,2563,84.0,0.449242502450943,0.0001,53797
202,215376,86.82207511,1064,0.05,2564,84.0,3.6304876804351807,0.0001,53818
202,215460,86.80992402,1064,0.05,2565,84.0,0.17407259345054626,0.0001,53839
202,215544,86.76243132999998,1065,0.05,2566,84.0,0.08393438160419464,0.0001,53860
202,215628,86.75265993,1065,0.05,2567,84.0,0.12537053227424622,0.0001,53881
202,215712,86.71258249999997,1066,0.05,2568,84.0,3.7952513694763184,0.0001,53902
202,215796,86.72628194999997,1066,0.05,2569,84.0,0.4716028869152069,0.0001,53923
202,215880,86.76544578999997,1067,0.05,2570,84.0,0.33141547441482544,0.0001,53944
202,215964,86.69293311,1067,0.05,2571,84.0,0.19029021263122559,0.0001,53965
202,216048,86.70478414999998,1068,0.05,2572,84.0,0.20882026851177216,0.0001,53986
202,216132,86.72179025,1068,0.05,2573,84.0,4.2710137367248535,0.0001,54007
202,216216,86.64965846999999,1069,0.05,2574,84.0,0.0914013609290123,0.0001,54028
202,216300,86.63322363000002,1069,0.05,2575,84.0,0.13128836452960968,0.0001,54049
202,216384,86.66864149000001,1069,0.05,2576,84.0,7.248010635375977,0.0001,54070
202,216468,86.67773310999999,1070,0.05,2577,84.0,4.239320755004883,0.0001,54091
202,216552,86.66654733,1071,0.05,2578,84.0,0.13467739522457123,0.0001,54112
202,216636,86.6849491,1071,0.05,2579,84.0,3.592853307723999,0.0001,54133
202,216720,86.68571734,1071,0.05,2580,84.0,0.3718901574611664,0.0001,54154
202,216804,86.68524892,1072,0.05,2581,84.0,7.068747520446777,0.0001,54175
202,216888,86.69273254000001,1072,0.05,2582,84.0,10.800644874572754,0.0001,54196
202,216972,86.67295683,1073,0.05,2583,84.0,0.08378121256828308,0.0001,54217
202,217056,86.67406244999998,1073,0.05,2584,84.0,4.077292442321777,0.0001,54238
202,217140,86.68159685999998,1074,0.05,2585,84.0,3.64844012260437,0.0001,54259
202,217224,86.67525629,1075,0.05,2586,84.0,0.1693190634250641,0.0001,54280
202,217308,86.66449286,1075,0.05,2587,84.0,3.984070301055908,0.0001,54301
202,217392,86.66845134,1075,0.05,2588,84.0,0.08066902309656143,0.0001,54322
202,217476,86.65960512,1076,0.05,2589,84.0,0.6413102746009827,0.0001,54343
202,217560,86.65992333,1076,0.05,2590,84.0,0.21227610111236572,0.0001,54364
202,217644,86.63292516,1077,0.05,2591,84.0,0.43380236625671387,0.0001,54385
202,217728,86.66047619999999,1077,0.05,2592,84.0,0.14938342571258545,0.0001,54406
202,217812,86.66263007999999,1078,0.05,2593,84.0,0.08212770521640778,0.0001,54427
202,217896,86.61258932999999,1078,0.05,2594,84.0,0.13407054543495178,0.0001,54448
202,217980,86.59702614999998,1079,0.05,2595,84.0,0.5099631547927856,0.0001,54469
201,218064,86.58868966999998,1079,0.05,2596,84.0,0.8583014011383057,0.0001,54490
201,218148,86.55775616,1079,0.05,2597,84.0,3.3746490478515625,0.0001,54511
201,218232,86.56231022999998,1080,0.05,2598,84.0,0.14789021015167236,0.0001,54532
201,218316,86.56964079999997,1081,0.05,2599,84.0,3.482384204864502,0.0001,54553
201,218400,86.58195040000001,1081,0.05,2600,84.0,0.2568330764770508,0.0001,54574
201,218484,86.60131631000002,1081,0.05,2601,84.0,0.3337986469268799,0.0001,54595
201,218568,86.59743907000001,1082,0.05,2602,84.0,0.6348206996917725,0.0001,54616
201,218652,86.54643974000003,1082,0.05,2603,84.0,0.22233711183071136,0.0001,54637
201,218736,86.53226035000002,1083,0.05,2604,84.0,0.16253933310508728,0.0001,54658
201,218820,86.52169499,1083,0.05,2605,84.0,0.13627074658870697,0.0001,54679
201,218904,86.51225183000001,1084,0.05,2606,84.0,0.5668955445289612,0.0001,54700
201,218988,86.53446046999997,1084,0.05,2607,84.0,4.2401533126831055,0.0001,54721
201,219072,86.46270079,1085,0.05,2608,84.0,0.26107022166252136,0.0001,54742
201,219156,86.46089698000002,1085,0.05,2609,84.0,4.3237738609313965,0.0001,54763
201,219240,86.52739583,1086,0.05,2610,84.0,0.08416038751602173,0.0001,54784
201,219324,86.51177306000001,1086,0.05,2611,84.0,4.002619743347168,0.0001,54805
201,219408,86.52191424,1087,0.05,2612,84.0,0.41468560695648193,0.0001,54826
201,219492,86.51121689000001,1087,0.05,2613,84.0,0.19722501933574677,0.0001,54847
201,219576,86.51455954000001,1088,0.05,2614,84.0,0.45771777629852295,0.0001,54868
201,219660,86.50279911,1088,0.05,2615,84.0,0.2224794328212738,0.0001,54889
201,219744,86.50163609,1088,0.05,2616,84.0,0.433919221162796,0.0001,54910
201,219828,86.48391025000001,1089,0.05,2617,84.0,0.3374282121658325,0.0001,54931
201,219912,86.48402549000002,1089,0.05,2618,84.0,3.4199442863464355,0.0001,54952
201,219996,86.44870465000002,1090,0.05,2619,84.0,0.7199921607971191,0.0001,54973
201,220080,86.37544215,1090,0.05,2620,84.0,0.19820019602775574,0.0001,54994
201,220164,86.41439296000003,1091,0.05,2621,84.0,0.1235070750117302,0.0001,55015
201,220248,86.40958015,1091,0.05,2622,84.0,0.42274197936058044,0.0001,55036
