time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/loss
189,48.43,0.05,324,12.01482757,61523,1341,15355,0.0001,0.47239041328430176
189,49.03,0.05,325,12.930993740000002,61608,1342,15376,0.0001,3.8845810890197754
189,49.03,0.05,325,12.862005299999998,61693,1343,15398,0.0001,0.6313642263412476
189,48.59,0.05,325,12.73673157,61734,1344,15408,0.0001,4.115497589111328
189,48.52,0.05,326,12.618863569999998,61770,1345,15417,0.0001,0.6871334910392761
189,48.0,0.05,326,12.4545472,61803,1346,15425,0.0001,0.7555423974990845
189,47.41,0.05,326,11.57748459,61829,1347,15432,0.0001,8.418381690979004
189,47.73,0.05,326,12.169554499999998,61889,1348,15447,0.0001,0.7582513689994812
189,47.22,0.05,327,11.85831728,61923,1349,15455,0.0001,15.90086555480957
189,46.71,0.05,327,11.502871030000001,61957,1350,15464,0.0001,4.869627475738525
189,46.26,0.05,327,11.481244390000002,61997,1351,15474,0.0001,4.439150333404541
189,45.72,0.05,327,10.536219600000003,62028,1352,15481,0.0001,4.471502304077148
189,45.74,0.05,327,10.57199554,62062,1353,15490,0.0001,1.2425857782363892
189,45.79,0.05,328,10.64520256,62096,1354,15498,0.0001,8.508063316345215
189,45.99,0.05,328,10.95213336,62141,1355,15510,0.0001,0.5498902201652527
189,45.99,0.05,328,10.299711370000002,62226,1356,15531,0.0001,4.654331207275391
189,46.38,0.05,329,11.05321067,62311,1357,15552,0.0001,4.491223335266113
189,46.48,0.05,329,11.227442380000003,62352,1358,15562,0.0001,0.682046115398407
189,46.47,0.05,329,11.22766605,62384,1359,15570,0.0001,1.0256950855255127
189,46.37,0.05,329,11.027013749999998,62423,1360,15580,0.0001,0.7498335838317871
189,45.82,0.05,329,10.932761900000001,62453,1361,15588,0.0001,11.55746841430664
189,45.95,0.05,330,11.147474209999999,62494,1362,15598,0.0001,0.7530384063720703
189,46.05,0.05,330,11.28682779,62529,1363,15607,0.0001,4.328598976135254
189,45.97,0.05,330,11.149042569999997,62560,1364,15614,0.0001,0.5785375833511353
189,46.54,0.05,330,12.31252761,62645,1365,15636,0.0001,0.6684963703155518
189,46.52,0.05,331,12.26773791,62677,1366,15644,0.0001,4.9834136962890625
189,46.6,0.05,331,12.37393666,62710,1367,15652,0.0001,0.6550532579421997
189,47.08,0.05,331,13.47954624,62795,1368,15673,0.0001,4.544317722320557
189,47.14,0.05,332,13.610383859999999,62830,1369,15682,0.0001,0.5377287268638611
189,47.45,0.05,332,14.08907201,62887,1370,15696,0.0001,0.5488100051879883
189,47.97,0.05,332,14.57248228,62972,1371,15717,0.0001,1.1351983547210693
189,48.31,0.05,332,15.10506889,63031,1372,15732,0.0001,0.6914663314819336
189,48.38,0.05,333,15.24444339,63067,1373,15741,0.0001,0.673725426197052
189,48.19,0.05,333,15.234517720000001,63133,1374,15758,0.0001,4.051973819732666
189,48.24,0.05,333,15.29597786,63164,1375,15765,0.0001,4.9971795082092285
189,48.8,0.05,334,16.40546695,63249,1376,15787,0.0001,7.766324996948242
189,48.91,0.05,334,16.581346970000002,63286,1377,15796,0.0001,0.7828545570373535
189,48.97,0.05,334,16.66277032,63320,1378,15804,0.0001,1.009450912475586
189,49.46,0.05,334,17.103222849999998,63405,1379,15826,0.0001,0.5066922903060913
189,49.67,0.05,335,17.457166700000002,63451,1380,15837,0.0001,8.432230949401855
189,49.76,0.05,335,17.5725758,63487,1381,15846,0.0001,0.9320313930511475
189,49.82,0.05,335,17.64674796,63522,1382,15855,0.0001,4.3364996910095215
189,49.87,0.05,335,17.75011932,63563,1383,15865,0.0001,4.441450119018555
189,50.01,0.05,335,17.95961508,63602,1384,15875,0.0001,0.35735273361206055
189,49.91,0.05,336,17.821814940000003,63627,1385,15881,0.0001,4.1492533683776855
189,49.92,0.05,336,17.77911559,63661,1386,15890,0.0001,4.510445594787598
189,50.07,0.05,336,18.07497447,63706,1387,15901,0.0001,5.074329853057861
189,49.53,0.05,336,17.38208169,63737,1388,15909,0.0001,4.86264181137085
189,49.44,0.05,337,17.218283590000002,63775,1389,15918,0.0001,1.1144015789031982
189,49.39,0.05,337,17.102911549999998,63811,1390,15927,0.0001,0.7089541554450989
189,48.92,0.05,337,16.46514551,63846,1391,15936,0.0001,4.8448710441589355
189,48.4,0.05,337,15.831460949999999,63879,1392,15944,0.0001,11.67267894744873
189,48.36,0.05,338,15.76746312,63908,1393,15951,0.0001,4.178343296051025
189,48.67,0.05,338,16.32386917,63966,1394,15966,0.0001,1.088144302368164
189,48.68,0.05,338,16.341260459999997,63996,1395,15973,0.0001,0.8075313568115234
189,48.69,0.05,338,16.306773070000002,64030,1396,15982,0.0001,0.955748975276947
189,48.59,0.05,338,16.163635000000003,64058,1397,15989,0.0001,0.7521211504936218
189,48.33,0.05,339,15.96410636,64117,1398,16004,0.0001,8.725099563598633
189,48.16,0.05,339,15.56927903,64156,1399,16013,0.0001,4.996038436889648
188,47.68,0.05,339,15.05192181,64193,1400,16023,0.0001,4.47178316116333
188,47.18,0.05,339,14.173356940000001,64228,1401,16031,0.0001,0.9894967675209045
188,46.64,0.05,340,14.107072319999997,64259,1402,16039,0.0001,4.295378684997559
188,46.05,0.05,340,14.095354299999999,64285,1403,16046,0.0001,0.9544066190719604
