time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
32821,238,32.85,0.05,997,-9.84944348,137,8180,0.0001,0.977584958076477
32850,238,32.89,0.05,998,-9.808868449999999,137,8187,0.0001,1.3111155033111572
32879,238,32.92,0.05,999,-9.788860589999999,137,8194,0.0001,5.723267555236816
32908,238,32.9,0.05,1000,-9.836019849999998,137,8201,0.0001,6.643646240234375
32938,239,32.9,0.05,1001,-9.83312322,137,8209,0.0001,3.687303304672241
32968,239,32.92,0.05,1002,-9.79887578,137,8216,0.0001,3.436886787414551
32996,239,32.93,0.05,1003,-9.78929513,137,8223,0.0001,3.902200222015381
33021,239,32.88,0.05,1004,-9.84114922,137,8230,0.0001,6.117164611816406
33049,240,32.89,0.05,1005,-9.831467289999999,137,8237,0.0001,1.1441192626953125
33078,240,32.92,0.05,1006,-9.790526100000001,137,8244,0.0001,3.6786155700683594
33103,240,32.9,0.05,1007,-9.803347220000001,137,8250,0.0001,1.2978028059005737
33132,240,32.94,0.05,1008,-9.756806590000002,137,8257,0.0001,3.941324234008789
33159,241,32.96,0.05,1009,-9.741844500000001,137,8264,0.0001,1.0496362447738647
33187,241,32.99,0.05,1010,-9.712148489999999,137,8271,0.0001,1.2214336395263672
33232,241,33.19,0.05,1011,-9.393879790000002,137,8282,0.0001,3.923922061920166
33258,241,33.19,0.05,1012,-9.38545439,137,8289,0.0001,1.0055155754089355
33284,242,33.2,0.05,1013,-9.38624604,137,8295,0.0001,3.712526798248291
33311,242,33.21,0.05,1014,-9.36228729,137,8302,0.0001,3.579859972000122
33343,242,33.28,0.05,1015,-9.27523482,137,8310,0.0001,6.596995830535889
33368,242,33.28,0.05,1016,-9.27421644,137,8316,0.0001,0.9674756526947021
33400,242,33.35,0.05,1017,-9.19609473,137,8324,0.0001,3.714411735534668
33427,243,33.36,0.05,1018,-9.20087915,137,8331,0.0001,1.0508936643600464
33455,243,33.33,0.05,1019,-9.24109292,137,8338,0.0001,1.2300599813461304
33483,243,33.29,0.05,1020,-9.298803040000001,137,8345,0.0001,0.9425119161605835
33514,243,33.25,0.05,1021,-9.36740264,137,8353,0.0001,1.2097299098968506
33540,244,33.25,0.05,1022,-9.373296680000001,137,8359,0.0001,1.2460601329803467
33566,244,33.19,0.05,1023,-9.449672829999999,137,8366,0.0001,4.1373395919799805
33591,244,33.18,0.05,1024,-9.45248517,137,8372,0.0001,3.9336705207824707
33623,244,33.24,0.05,1025,-9.37609225,137,8380,0.0001,1.3671302795410156
33648,245,33.19,0.05,1026,-9.42372048,137,8386,0.0001,1.092198133468628
33674,245,33.14,0.05,1027,-9.493780379999999,137,8393,0.0001,1.5615737438201904
33702,245,32.57,0.05,1028,-9.68343415,137,8400,0.0001,3.791372299194336
33729,245,31.99,0.05,1029,-9.61917405,137,8407,0.0001,6.789299964904785
33758,246,31.99,0.05,1030,-9.61984613,137,8414,0.0001,1.3701608180999756
33791,246,31.51,0.05,1031,-10.080696690000002,137,8422,0.0001,3.9395341873168945
33820,246,31.55,0.05,1032,-10.04584434,137,8429,0.0001,3.82529878616333
33847,246,31.57,0.05,1033,-10.035908280000001,137,8436,0.0001,6.387977600097656
33875,246,31.56,0.05,1034,-10.04453738,137,8443,0.0001,9.010010719299316
33904,247,31.6,0.05,1035,-9.99595327,137,8450,0.0001,9.053241729736328
33931,247,31.58,0.05,1036,-10.0066419,137,8457,0.0001,3.9436614513397217
33961,247,31.62,0.05,1037,-9.97329193,137,8465,0.0001,4.018310070037842
33987,247,31.6,0.05,1038,-9.99929327,137,8471,0.0001,6.453971862792969
34012,248,31.53,0.05,1039,-10.07912348,137,8477,0.0001,10.971748352050781
34039,248,31.5,0.05,1040,-10.10928479,137,8484,0.0001,8.864436149597168
34066,248,31.46,0.05,1041,-10.15261786,136,8491,0.0001,6.371163368225098
34094,248,30.89,0.05,1042,-10.538905629999999,136,8498,0.0001,6.311516761779785
34123,249,30.92,0.05,1043,-10.51992275,136,8505,0.0001,1.2240257263183594
34152,249,30.92,0.05,1044,-10.520363549999997,137,8512,0.0001,3.7910420894622803
