time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
54901,321,1310,0.05,11.71852281,170,53.38,0.6319317817687988,0.0001,13700
54928,321,1311,0.05,11.732596850000002,170,53.4,0.48991408944129944,0.0001,13706
55013,322,1312,0.05,11.9932059,170,54.0,4.091830253601074,0.0001,13728
55043,322,1313,0.05,12.044976580000004,170,54.05,0.823201060295105,0.0001,13735
55068,322,1314,0.05,12.058086870000004,170,54.05,3.497598648071289,0.0001,13741
55149,323,1315,0.05,12.845713600000002,170,54.57,0.8141647577285767,0.0001,13762
55234,323,1316,0.05,12.902933440000002,170,55.17,0.6459707021713257,0.0001,13783
55260,323,1317,0.05,12.902835940000003,170,55.18,5.364449501037598,0.0001,13789
55285,324,1318,0.05,12.57820586,170,54.58,2.607457399368286,0.0001,13796
55370,324,1319,0.05,12.9722998,170,55.18,0.758941650390625,0.0001,13817
55396,324,1320,0.05,12.599544360000003,170,54.96,0.999583899974823,0.0001,13823
55425,325,1321,0.05,12.63436984,170,55.0,4.796624183654785,0.0001,13831
55450,325,1322,0.05,11.935039300000001,170,54.44,1.0000766515731812,0.0001,13837
55475,325,1323,0.05,11.932627630000002,170,54.43,4.492808818817139,0.0001,13843
55560,325,1324,0.05,12.20228589,170,55.03,3.122659206390381,0.0001,13864
55589,326,1325,0.05,12.24205513,170,55.07,1.224170446395874,0.0001,13872
55674,326,1326,0.05,12.228481660000002,170,55.65,2.099095106124878,0.0001,13893
55702,326,1327,0.05,12.24385225,170,55.66,0.7524083852767944,0.0001,13900
55730,326,1328,0.05,12.245141250000001,170,55.66,4.823967456817627,0.0001,13907
55815,327,1329,0.05,12.33563027,170,55.66,0.9090884923934937,0.0001,13928
55840,327,1330,0.05,11.033914889999998,170,55.06,6.991306781768799,0.0001,13934
55925,327,1331,0.05,10.46740582,170,55.06,2.1638994216918945,0.0001,13956
56010,328,1332,0.05,10.9860734,170,55.06,5.024874687194824,0.0001,13977
